config,model,rank,regime,gen,retention,distinct_1,mtld,stopword_ratio,mean_length,content_efficiency,levenshtein_stability,gen0_persistence
g1_gen10_seed15,qwen,r16,homeostatic,0,1.0,0.6711,2672.7,0.1257,2.47,0.4055,,
g1_gen10_seed15,qwen,r16,homeostatic,1,0.949,0.6422,2172.8,0.1587,2.63,0.3602,0.5843,0.357
g1_gen10_seed15,qwen,r16,homeostatic,2,0.949,0.6394,2053.5,0.1605,2.7,0.351,0.5342,0.352
g1_gen10_seed15,qwen,r16,homeostatic,3,0.949,0.6424,2045.3,0.1535,2.65,0.358,0.5522,0.354
g1_gen10_seed15,qwen,r16,homeostatic,4,0.949,0.6417,2147.3,0.1557,2.65,0.3581,0.5674,0.344
g1_gen10_seed15,qwen,r16,homeostatic,5,0.949,0.6395,2001.9,0.1558,2.68,0.3536,0.5721,0.356
g1_gen10_seed15,qwen,r16,homeostatic,6,0.949,0.6428,2190.0,0.1534,2.68,0.3546,0.5516,0.363
g1_gen10_seed15,qwen,r16,homeostatic,7,0.949,0.6359,2113.1,0.1616,2.66,0.3571,0.563,0.34
g1_gen10_seed15,qwen,r16,homeostatic,8,0.949,0.6409,2099.3,0.1551,2.65,0.3581,0.5523,0.35
g1_gen10_seed15,qwen,r16,homeostatic,9,0.949,0.6388,2095.1,0.1504,2.59,0.367,0.5576,0.352
g1_gen10_seed15,qwen,r16,homeostatic,10,0.949,0.6369,2035.6,0.1628,2.7,0.352,0.5651,0.361
g1_rank256_seed15,qwen,r256,degradative,0,1.0,0.6711,2672.7,0.1257,2.47,0.4055,,
g1_rank256_seed15,qwen,r256,degradative,1,0.936,0.6692,2671.4,0.1272,2.49,0.3762,0.524,0.326
g1_rank256_seed15,qwen,r256,degradative,2,0.923,0.6617,2747.9,0.1357,2.61,0.3543,0.5378,0.287
g1_rank256_seed15,qwen,r256,degradative,3,0.897,0.6626,2922.3,0.134,2.76,0.3249,0.5095,0.254
g1_rank256_seed15,qwen,r256,degradative,4,0.872,0.6463,2670.2,0.1377,2.97,0.2932,0.5205,0.235
g1_rank256_seed15,qwen,r256,degradative,5,0.831,0.651,2586.8,0.1357,3.09,0.2692,0.5068,0.202
g1_rank256_seed15,qwen,r256,degradative,6,0.808,0.6392,2556.7,0.1345,3.23,0.25,0.5028,0.177
g1_rank256_seed15,qwen,r256,degradative,7,0.795,0.6304,2518.0,0.1304,3.38,0.2349,0.5032,0.144
g1_rank256_seed15,qwen,r256,degradative,8,0.782,0.6408,2951.7,0.1201,3.51,0.223,0.4928,0.102
g1_rank256_seed15,qwen,r256,degradative,9,0.782,0.6438,3646.5,0.1056,3.65,0.2145,0.472,0.066
g1_rank256_seed15,qwen,r256,degradative,10,0.78,0.6574,3804.1,0.0927,3.56,0.2194,0.4733,0.038
g1_rank128_seed15,qwen,r128,bounded,0,1.0,0.6711,2672.7,0.1257,2.47,0.4055,,
g1_rank128_seed15,qwen,r128,bounded,1,0.91,0.6603,2676.2,0.1395,2.59,0.3511,0.5159,0.286
g1_rank128_seed15,qwen,r128,bounded,2,0.897,0.6374,2178.2,0.1607,2.81,0.3197,0.5004,0.253
g1_rank128_seed15,qwen,r128,bounded,3,0.885,0.6304,2180.2,0.1664,3.08,0.2877,0.4981,0.232
g1_rank128_seed15,qwen,r128,bounded,4,0.872,0.6164,746.3,0.1721,3.34,0.261,0.4766,0.222
g1_rank128_seed15,qwen,r128,bounded,5,0.873,0.6026,1986.8,0.1688,3.6,0.2422,0.4703,0.165
g1_rank128_seed15,qwen,r128,bounded,6,0.885,0.5956,2009.0,0.1706,3.83,0.2313,0.4558,0.13
g1_rank128_seed15,qwen,r128,bounded,7,0.885,0.5789,1522.0,0.1783,4.22,0.2098,0.4427,0.117
g1_rank128_seed15,qwen,r128,bounded,8,0.885,0.5454,1408.2,0.1971,4.78,0.1852,0.4134,0.085
g1_rank128_seed15,qwen,r128,bounded,9,0.885,0.5141,1158.8,0.2153,5.55,0.1595,0.4202,0.063
g1_rank128_seed15,qwen,r128,bounded,10,0.886,0.4621,744.8,0.2512,6.95,0.1274,0.3934,0.052
gemma3_rank4_seed15,gemma3,r4,homeostatic,0,1.0,0.6985,2737.5,0.0771,2.23,0.4483,,
gemma3_rank4_seed15,gemma3,r4,homeostatic,1,0.936,0.699,2822.0,0.0776,2.27,0.4128,0.6493,0.464
gemma3_rank4_seed15,gemma3,r4,homeostatic,2,0.936,0.695,2832.7,0.0832,2.27,0.4119,0.6499,0.483
gemma3_rank4_seed15,gemma3,r4,homeostatic,3,0.936,0.6944,2716.9,0.0794,2.26,0.4143,0.6595,0.497
gemma3_rank4_seed15,gemma3,r4,homeostatic,4,0.923,0.7062,3022.1,0.0788,2.28,0.4054,0.6751,0.491
gemma3_rank4_seed15,gemma3,r4,homeostatic,5,0.922,0.7005,2925.7,0.0809,2.29,0.402,0.679,0.486
gemma3_rank4_seed15,gemma3,r4,homeostatic,6,0.922,0.7041,2893.0,0.0816,2.3,0.4001,0.6755,0.477
gemma3_rank4_seed15,gemma3,r4,homeostatic,7,0.936,0.7023,2943.5,0.0826,2.29,0.4088,0.6759,0.484
gemma3_rank4_seed15,gemma3,r4,homeostatic,8,0.936,0.7093,3091.3,0.0805,2.31,0.4052,0.6415,0.464
gemma3_rank4_seed15,gemma3,r4,homeostatic,9,0.936,0.7095,3073.6,0.0815,2.31,0.4059,0.6507,0.483
gemma3_rank4_seed15,gemma3,r4,homeostatic,10,0.936,0.7025,3005.4,0.0839,2.33,0.4018,0.6539,0.461
gemma3_rank16_seed15,gemma3,r16,degradative,0,1.0,0.6985,2737.5,0.0771,2.23,0.4483,,
gemma3_rank16_seed15,gemma3,r16,degradative,1,0.846,0.6928,2924.9,0.0874,2.43,0.3481,0.5764,0.368
gemma3_rank16_seed15,gemma3,r16,degradative,2,0.756,0.7093,3721.8,0.0965,2.8,0.2703,0.5668,0.264
gemma3_rank16_seed15,gemma3,r16,degradative,3,0.718,0.685,3766.7,0.1063,3.26,0.2205,0.5674,0.194
gemma3_rank16_seed15,gemma3,r16,degradative,4,0.692,0.6656,4050.6,0.1076,3.79,0.1824,0.5072,0.077
gemma3_rank16_seed15,gemma3,r16,degradative,5,0.688,0.6464,3867.3,0.0979,3.85,0.1788,0.4949,0.035
