model,method,rank_or_lr,seed,generation,regime,config,distinct_1,distinct_2,distinct_3,ttr,token_entropy,response_uniqueness,duplicate_rate,max_response_freq,unique_responses,total_responses,mean_length,std_length,total_tokens
qwen,qlora,r16,15,0,homeostatic,g1_gen10_seed15,0.6711,0.9521,0.9915,0.6711,10.9718,0.9295,0.0565,0.003,1859,2000,2.47,1.71,4932
qwen,qlora,r16,15,1,homeostatic,g1_gen10_seed15,0.6422,0.9474,0.9896,0.6422,10.8549,0.9305,0.0532,0.004,1861,2000,2.63,2.09,5269
qwen,qlora,r16,15,2,homeostatic,g1_gen10_seed15,0.6394,0.9456,0.9896,0.6394,10.8732,0.932,0.052,0.0025,1864,2000,2.7,2.24,5408
qwen,qlora,r16,15,3,homeostatic,g1_gen10_seed15,0.6424,0.9464,0.9906,0.6424,10.8601,0.9365,0.0481,0.0025,1873,2000,2.65,2.14,5302
qwen,qlora,r16,15,4,homeostatic,g1_gen10_seed15,0.6417,0.9434,0.9904,0.6417,10.87,0.9315,0.059,0.0025,1863,2000,2.65,2.1,5300
qwen,qlora,r16,15,5,homeostatic,g1_gen10_seed15,0.6395,0.9419,0.9877,0.6395,10.8574,0.933,0.0514,0.0035,1866,2000,2.68,2.23,5367
qwen,qlora,r16,15,6,homeostatic,g1_gen10_seed15,0.6428,0.9475,0.9918,0.6428,10.8673,0.9355,0.0502,0.0025,1871,2000,2.68,2.13,5352
qwen,qlora,r16,15,7,homeostatic,g1_gen10_seed15,0.6359,0.9443,0.9917,0.6359,10.8322,0.932,0.052,0.0025,1864,2000,2.66,2.2,5315
qwen,qlora,r16,15,8,homeostatic,g1_gen10_seed15,0.6409,0.943,0.9887,0.6409,10.8662,0.927,0.0534,0.0025,1854,2000,2.65,2.06,5300
qwen,qlora,r16,15,9,homeostatic,g1_gen10_seed15,0.6388,0.9464,0.9907,0.6388,10.8477,0.9245,0.0611,0.003,1849,2000,2.59,2.12,5172
qwen,qlora,r16,15,10,homeostatic,g1_gen10_seed15,0.6369,0.9457,0.99,0.6369,10.8468,0.937,0.0496,0.003,1874,2000,2.7,2.28,5392
qwen,qlora,r4,15,0,homeostatic,g1_rank4_seed15,0.6711,0.9521,0.9915,0.6711,10.9718,0.9295,0.0565,0.003,1859,2000,2.47,1.71,4932
qwen,qlora,r4,15,1,homeostatic,g1_rank4_seed15,0.6746,0.9541,0.9915,0.6746,10.9472,0.9195,0.0658,0.0035,1839,2000,2.42,1.83,4834
qwen,qlora,r4,15,2,homeostatic,g1_rank4_seed15,0.658,0.9513,0.9906,0.658,10.8923,0.932,0.0536,0.003,1864,2000,2.51,1.81,5012
qwen,qlora,r4,15,3,homeostatic,g1_rank4_seed15,0.675,0.9532,0.9916,0.675,10.9356,0.932,0.0542,0.003,1864,2000,2.43,1.74,4868
qwen,qlora,r4,15,4,homeostatic,g1_rank4_seed15,0.6721,0.9576,0.992,0.6721,10.9666,0.9305,0.0553,0.0025,1861,2000,2.49,1.77,4977
qwen,qlora,r4,15,5,homeostatic,g1_rank4_seed15,0.6516,0.9525,0.9928,0.6516,10.8945,0.9225,0.0612,0.003,1845,2000,2.51,1.91,5029
qwen,qlora,r32,15,0,homeostatic,g1_rank32_seed15,0.6711,0.9521,0.9915,0.6711,10.9718,0.9295,0.0565,0.003,1859,2000,2.47,1.71,4932
qwen,qlora,r32,15,1,homeostatic,g1_rank32_seed15,0.6404,0.944,0.9901,0.6404,10.8726,0.9305,0.0553,0.0025,1861,2000,2.63,2.3,5253
qwen,qlora,r32,15,2,homeostatic,g1_rank32_seed15,0.637,0.943,0.9889,0.637,10.8373,0.9315,0.0537,0.0025,1863,2000,2.62,2.14,5245
qwen,qlora,r32,15,3,homeostatic,g1_rank32_seed15,0.6492,0.9458,0.9898,0.6492,10.9006,0.936,0.0491,0.003,1872,2000,2.64,2.17,5282
qwen,qlora,r32,15,4,homeostatic,g1_rank32_seed15,0.6339,0.94,0.9867,0.6339,10.8339,0.9335,0.0536,0.0025,1867,2000,2.64,2.2,5283
qwen,qlora,r32,15,5,homeostatic,g1_rank32_seed15,0.6407,0.9453,0.9883,0.6407,10.8535,0.932,0.0515,0.003,1864,2000,2.65,2.25,5305
qwen,qlora,r64,15,0,homeostatic,g1_rank64_seed15,0.6711,0.9521,0.9915,0.6711,10.9718,0.9295,0.0565,0.003,1859,2000,2.47,1.71,4932
qwen,qlora,r64,15,1,homeostatic,g1_rank64_seed15,0.6573,0.949,0.9897,0.6573,10.8854,0.937,0.0491,0.003,1874,2000,2.53,1.96,5063
qwen,qlora,r64,15,2,homeostatic,g1_rank64_seed15,0.6529,0.9485,0.9896,0.6529,10.8875,0.9295,0.0527,0.0035,1859,2000,2.55,1.95,5103
qwen,qlora,r64,15,3,homeostatic,g1_rank64_seed15,0.6506,0.9483,0.9898,0.6506,10.8974,0.9265,0.0545,0.004,1853,2000,2.59,2.09,5180
qwen,qlora,r64,15,4,homeostatic,g1_rank64_seed15,0.645,0.9518,0.9894,0.645,10.9284,0.9315,0.0564,0.003,1863,2000,2.68,2.31,5369
qwen,qlora,r64,15,5,homeostatic,g1_rank64_seed15,0.6364,0.9376,0.9838,0.6364,10.8868,0.9365,0.0497,0.003,1873,2000,2.72,2.26,5437
qwen,qlora,r64,15,6,homeostatic,g1_rank64_seed15,0.6354,0.942,0.9861,0.6354,10.9011,0.933,0.0557,0.003,1866,2000,2.74,2.42,5486
qwen,qlora,r64,15,7,homeostatic,g1_rank64_seed15,0.6463,0.9497,0.9905,0.6463,10.9554,0.942,0.0441,0.0025,1884,2000,2.79,2.5,5587
qwen,qlora,r64,15,8,homeostatic,g1_rank64_seed15,0.626,0.9415,0.9892,0.626,10.8897,0.94,0.0489,0.002,1880,2000,2.87,2.55,5741
qwen,qlora,r64,15,9,homeostatic,g1_rank64_seed15,0.6264,0.9426,0.9899,0.6264,10.8777,0.9425,0.0472,0.003,1885,2000,2.91,2.61,5824
qwen,qlora,r64,15,10,homeostatic,g1_rank64_seed15,0.6187,0.9364,0.9866,0.6187,10.8894,0.943,0.0429,0.0025,1886,2000,3.02,2.64,6040
qwen,qlora,r128,15,0,bounded,g1_rank128_seed15,0.6711,0.9521,0.9915,0.6711,10.9718,0.9295,0.0565,0.003,1859,2000,2.47,1.71,4932
qwen,qlora,r128,15,1,bounded,g1_rank128_seed15,0.6603,0.9574,0.9927,0.6603,10.9474,0.937,0.0507,0.0025,1874,2000,2.59,1.84,5184
