config,model,rank,regime,gen,retention,distinct_1,distinct_2,unique_unigrams,unique_bigrams,norm_entropy,mean_length,response_uniqueness,total_tokens,verbosity_ratio,distinct1_ratio
g1_gen10_seed15,qwen,r16,homeostatic,0,1.0,0.6711273317112734,0.9521395254512269,3310,4695,0.9383567196923446,2.466,0.928,4932,1.0,1.0
g1_gen10_seed15,qwen,r16,homeostatic,1,0.949,0.642247105712659,0.9474183750949127,3384,4991,0.9258281477233192,2.6345,0.9285,5269,1.0683292781832927,0.9569675907476839
g1_gen10_seed15,qwen,r16,homeostatic,2,0.949,0.6394230769230769,0.9456260403181062,3458,5113,0.9249261835681059,2.704,0.9285,5408,1.0965125709651258,0.9527597025331163
g1_gen10_seed15,qwen,r16,homeostatic,3,0.949,0.6423990946812523,0.9464252027919261,3406,5017,0.9255307783095763,2.651,0.9345,5302,1.0750202757502025,0.9571940589026998
g1_gen10_seed15,qwen,r16,homeostatic,4,0.949,0.6416981132075472,0.9433855444423476,3401,4999,0.9265492204854076,2.65,0.929,5300,1.0746147607461476,0.9561495753291911
g1_gen10_seed15,qwen,r16,homeostatic,5,0.949,0.6394633873672443,0.9418561311964219,3432,5054,0.9244410955254732,2.6835,0.931,5367,1.088199513381995,0.9528197663127639
g1_gen10_seed15,qwen,r16,homeostatic,6,0.949,0.6427503736920778,0.9474864511306298,3440,5070,0.9250185283641381,2.676,0.9335,5352,1.0851581508515815,0.9577174752414886
g1_gen10_seed15,qwen,r16,homeostatic,7,0.949,0.6359360301034808,0.9442980805419646,3380,5018,0.9240314689651785,2.6575,0.93,5315,1.0776561232765611,0.9475638974230716
g1_gen10_seed15,qwen,r16,homeostatic,8,0.949,0.640943396226415,0.9430081147386299,3397,4997,0.9263591980660998,2.65,0.925,5300,1.0746147607461476,0.955025024226187
g1_gen10_seed15,qwen,r16,homeostatic,9,0.949,0.6388244392884764,0.9464320247534326,3304,4894,0.9279477724486029,2.586,0.922,5172,1.048661800486618,0.9518677143718325
g1_gen10_seed15,qwen,r16,homeostatic,10,0.949,0.6368694362017804,0.945650157670191,3434,5098,0.9234757936523523,2.696,0.936,5392,1.0932684509326844,0.948954700709118
g1_rank256_seed15,qwen,r256,degradative,0,1.0,0.6711273317112734,0.9521395254512269,3310,4695,0.9383567196923446,2.466,0.928,4932,1.0,1.0
g1_rank256_seed15,qwen,r256,degradative,1,0.936,0.6692122186495176,0.9589949748743719,3330,4771,0.9379106944444688,2.488,0.93,4976,1.0089213300892133,0.9971464236795833
g1_rank256_seed15,qwen,r256,degradative,2,0.923,0.6616772212627134,0.9483685220729366,3448,4941,0.936139333960989,2.6055,0.929,5211,1.0565693430656935,0.9859190499298195
g1_rank256_seed15,qwen,r256,degradative,3,0.897,0.6625611302300308,0.9442028985507246,3658,5212,0.9348728089233329,2.7605,0.928,5521,1.1194241686942417,0.9872361009953208
g1_rank256_seed15,qwen,r256,degradative,4,0.872,0.6463271138006388,0.933422999327505,3845,5552,0.9310813356066793,2.9745,0.935,5949,1.2062043795620436,0.963046926061858
g1_rank256_seed15,qwen,r256,degradative,5,0.831,0.6509556203433754,0.9411955289162481,4019,5810,0.9308095339633702,3.087,0.9495,6174,1.2518248175182483,0.9699435406445701
g1_rank256_seed15,qwen,r256,degradative,6,0.808,0.6391768528547115,0.9363974001857011,4131,6051,0.9301643739781021,3.2315,0.9555,6463,1.3104217356042174,0.9523928212324583
g1_rank256_seed15,qwen,r256,degradative,7,0.795,0.6303737627419117,0.9336583924349882,4267,6319,0.9287974706298098,3.3845,0.9595,6769,1.3724655312246552,0.9392759510100025
